,prompt
0,4k Detailed portrait by John Singer Sargent of A woman shrouded in a cloud of smoke
1,"dslr photo, scientists in hazmat suits watching a giant massive exotic colorful tropical alien carnivorous plant eating a prisoner, extremely detailed. stark. refraction. shallow depth of field. volumetric light and shadow. ray tracing. light rays "
2,"seraphim and cherubim inside a marble, hourglass, lightning, intricate detail, volumetric lighting, epic composition, hyper detailed, ultra realistic, sharp focus, octane render, candle, volumetric, ray tracing, artstation trending, cgsociety, sense of awe, swirling mist, 4 k "
3,"A star that looks like a small single round slice of chorizo, satellite view"
4,"3 panel scene, anime girl stands under a bridge in japan at night - dramatic cozy art by wlop and okuda genso. wide angle lens. featured on pixiv, anime aesthetic. pixiv, warm aesthetic, rays of light, volumetric light, artstation, vanitas, official art, gothic, noise film photo. octane render, redshift render, ue 4 "
5,"what he wanted most of all was a friend, lithograph, watercolors, ink, m.c. escher, moebius"
6,"rick sanchez sleeveless turtleneck. digital painting, by valerian city of a thousand planets, by ruan jin #, by mandy jurgens #, by artgerm #, william - adolphe bouguerea # "
7,"Kodak Portra 400, 8K, highly detailed, major arcana art nouveau tarot style star card 3/4 extreme closeup portrait card, eye contact, focus on model, tilt shift background: famous major arcana tarot remake, transformation scene-H 768"
8,big happy blue anime slime 
9,dancers by ray caesar 
10,"pulcinella dancing drunk through the empty street of naples waving a large pizza, extremely detailed pencil sketch by silvio fiorillo, from commedia dell'arte "
11,"portrait of viktor orban as a mongol warrior, very real, very detailed, intricate, perfect face and perfect eyes, and perfect jawlines, hd "
12,"joe biden smoking a giant joint, smoke, amazing detail, realistic digital art, artstation, award winning"
13,"one victorian monolithic house, fantasy art, thousands and thousands of rooms, colossal, gargantuan, immense, massive, monstrous, tremendous, prodigious, boundless, eternal, infinite, limitless, endless, unfathomable, varied, oil painting, ants eye view, inspired by jacek yerka "
14,"cyborg portrait, by dave mckean "
15,"a splatterpunk pose of a gorgon woman with flaming snakes for hair staring into a volcano, hyperrealistic, award-winning, in the style of Tom Bagshaw, Cedric Peyravernay, Peter Mohrbacher"
16,"high school concert band orchestra practice afternoon, intricate, sharp focus, illustration, highly detailed, digital painting, concept art, matte, art by ruan jia and wlop and greg rutkowski, masterpiece "
17,"one homeless man strangles another bearded homeless man with yellow underpants, high detail, very realistic, by greg rutkowski, by james gurney ultra clear detailed "
18,"portrait of a male pirate with flowing red hair!!!!!!, airship in the background!!!!!!, lean body!!, Steampunk!!!!!!!, D&D, fantasy, simple clothing!!!!, elegant, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, art by Artgerm and Greg Rutkowski and Alphonse Mucha"
19,"hyperrealistic detailed portrait of a character in a scenic environment by hsiao - ron cheng, dan hillier, fintan magee "
20,"Yahoo Finance front page August 9, 2022 screenshot"
21,"interior of mcdonald's restaurant, tables with trays with mcdonald's fries, burgers, cheeseburgers and cola on them ; people sitting at the table and eating ; the floor is covered in cotton candy and monkeys hang from the ceiling "
